0,1,13,4,10,7
1,1,13,4,10,7
2,5,14,11,8,2
3,3,6,12,9,0
4,11,2,5,14,8
5,1,13,4,10,7
6,11,8,5,14,2
7,5,14,11,8,2
8,1,7,13,4,10
9,11,8,5,14,2
10,6,3,9,12,0
11,11,8,5,14,2
12,1,13,4,10,7
13,3,6,12,9,0
14,1,13,4,10,7
15,1,13,4,10,7
16,11,8,5,14,2
17,13,1,7,4,10
18,11,2,5,14,8
19,11,2,5,14,8
20,1,13,4,10,7
21,13,1,7,4,10
22,1,13,4,10,7
23,11,8,5,14,2
24,1,13,4,10,7
25,11,8,5,14,2
26,11,2,5,14,8
27,13,1,7,4,10
28,11,8,5,14,2
29,1,13,4,10,7
30,11,8,5,14,2
31,13,1,7,4,10
32,11,2,5,14,8
33,11,8,5,14,2
34,11,8,5,14,2
35,1,13,4,10,7
36,13,1,7,4,10
37,1,13,4,10,7
38,6,3,9,12,0
39,11,2,5,14,8
40,13,1,7,4,10
41,11,2,5,14,8
42,11,8,5,14,2
43,1,13,4,10,7
44,11,2,5,14,8
45,11,8,5,14,2
46,13,1,7,4,10
47,1,13,4,10,7
48,13,1,7,4,10
49,11,8,5,14,2
50,13,1,7,4,10
51,13,1,7,4,10
52,11,8,5,14,2
53,11,2,5,14,8
54,11,8,5,14,2
55,13,1,7,4,10
56,5,14,11,8,2
57,11,8,5,14,2
58,11,8,5,14,2
59,11,8,5,14,2
60,11,8,5,14,2
61,1,13,4,10,7
62,1,13,4,10,7
63,11,8,5,14,2
64,1,13,4,10,7
65,11,8,5,14,2
66,1,13,4,10,7
67,13,1,7,4,10
68,11,8,5,14,2
69,11,2,5,14,8
70,11,8,5,14,2
71,13,1,7,4,10
72,13,1,7,4,10
73,11,8,5,14,2
74,13,1,7,4,10
75,11,2,5,14,8
76,1,13,4,10,7
77,1,13,4,10,7
78,11,8,5,14,2
79,11,8,5,14,2
80,1,13,4,10,7
81,11,2,5,14,8
82,11,8,5,14,2
83,11,8,5,14,2
84,13,1,7,4,10
85,1,13,4,10,7
86,11,2,5,14,8
87,11,8,5,14,2
88,11,2,5,14,8
89,13,1,7,4,10
90,3,6,12,9,0
91,1,13,4,10,7
92,11,8,5,14,2
93,1,13,4,10,7
94,1,13,4,10,7
95,1,13,4,10,7
96,11,8,5,14,2
97,11,8,5,14,2
98,11,8,5,14,2
99,13,1,7,4,10
