0,34,15,27
1,15,3,21,34,28,9,37,12
4,21
6,6,33,22
7,47
8,36,4,21,45,24,15,6,33,27,12
9,36,21,34,15,6,9
10,12,9,42
11,3,45,6,9
12,9
14,45
15,36,3,21,34,42,15,9,27
16,3,21,15,33,47,27
18,27
19,15
22,42
23,16,3,36,25,34,6,28,22,10
24,9
25,3,21,0,24,45,7,15,33,9,27
26,1,47
27,45
28,4,21,13,33,9
30,3,21,15,33,27
33,36,21,25,33
34,3,21,33,47
35,36,27,21,24,15,33,12
38,3,0
41,47
42,15,36,3,21,18,6,33,9,27,12
43,34,12
44,22,16
45,36,4,25,15,6,33,28,9,23,12
49,16,36,0,13,24,34,45,7,5,28,22,39,10
52,16,3,21,36,24,6,33,9,27,12
53,47,22
54,33
57,21,45,15,9
58,16,34,45,37,28,23
59,33,21
60,16,4,28,22
63,36,48,23,27
64,27,34,9,12
65,36,4,21,24,15,33,9,27
66,3,21,33,28
68,21,44,9,27
70,3,15,33,23
73,21,28
75,47,22
76,21,9
77,3,21,45,6,33,9,27
78,21,34,15,18,6,28,9,30
79,49,15,33
80,3,21,24,15,33,27
81,47,23
82,36,24,15,18,33,9
83,3,13,45,24,15,37,33,28,23,10
85,15,27,21
86,16
87,36,21,13,15,33,27
88,47
91,3,21,45,24,15,28
92,34,28,22,9,17
93,45,9
94,9,42
96,24
97,36,3,47,27
98,42,9
101,34
102,49,33,42
103,24,3,21
105,9
106,16,3,0,36,6,9,18
108,24,21
109,36,4,34,15,6,28,22,47
111,16,3,36,34,45,6,9,22,27
112,27,34,15,18,12
113,9,15
114,36,21,33,50
115,15,33,27
116,3,21,33
120,16,28,22
122,21,28,9
126,34
128,36,3,21,33,27
129,21,12
130,3,21,15,33,9,27
131,33
132,48
133,42,9
134,16,36,28
135,33,9
137,16,4,29,24,23,10,12
138,3,34,18,9,22,27
139,16,4,34,28,22
140,18
142,16,3,36,25,34,28,23
143,33
145,47
148,15,3,24,7,33,9,22,27
150,3,15,6,33,9,22,47,27
151,4,45,15,33,22
152,36,3,21,0,45,24,33,9,12
153,15,36,3,0,30,24,33,22,27,12
154,21,24,33
157,16,3,21,24,28
158,3,21,15,33,9,27,12
160,33
161,6
162,16,4,13,34,28
164,16,3,21,34,24,28,9
165,15
166,47
167,36,27,21,45,7,15,33,12
168,3,33,22,46,9
172,21,34,27
173,16,3,28,22
